genus,species,infrarank,infraspecies,symbol,stz,ind_stz,contract
Astragalus,lonchocarpus,,,ASLO3,Climate-matched species specific,"1,2,3,4",COPL
Bouteloua,gracilis,,,BOGR2,Climate-matched species specific,"5,8,10",COPL
Cleome,lutea,,,CLLU2,Landscape genetic,"1,2",COPL
Heliomeris,multiflora,,,HEMU3,Climate-matched species specific,"9,10",COPL
Machaeranthera,canescens,,,DICA18,Landscape genetic,"1,2",COPL
Machaeranthera,tanacetifolia,,,MATA2,Desert SW provisional,"1,2,3,4,8",COPL
Packera,multilobata,,,PAMU11,Desert SW provisional,"1,2,3,4,8",COPL
Pascopyrum,smithii,,,PASM,Desert SW provisional,"1,2,3,4",COPL
Pleuraphis,jamesii,,,PLJA,Landscape genetic,3,COPL
Sporobolus,cryptandrus,,,SPCR,Landscape genetic,2,COPL
Astragalus,lentiginosus,var. ,chartaceus,ASLEC,Desert SW provisional,"1,2,3,4,8",COPL
Aristida,purpurea,,,ARPU9,Desert SW provisional,"1,2,3,4,8",COPL
Chaenactis,douglasii,,,CHDO,Desert SW provisional,"1,2,3,4,8",COPL
Cleome,serrulata,,,CLSE,Desert SW provisional,"1,2,3,4,8",COPL
Cymopterus,bulbosus,,,CYBU,Desert SW provisional,"1,2,3,4,8",COPL
Cymopterus,purpureus,,,CYPU2,Desert SW provisional,"1,2,3,4,8",COPL
Eriogonum,cernuum,,,ERCE2,Desert SW provisional,"1,2,3,4,8",COPL
Eriogonum,fusiforme,,,ERFU3,Desert SW provisional,"1,2,3,4,8",COPL
Eriogonum,shockleyi,,,ERSH,Desert SW provisional,"1,2,3,4,8",COPL
Helianthus,annuus,,,HEAN3,Desert SW provisional,"1,2,3,4,8",COPL
Heliomeris,multiflora,,,HEMU3,Desert SW provisional,"1,2,3,4,8",COPL
Hesperostipa,comata,,,HECO26,Desert SW provisional,"1,2,3,4,8",COPL
Heterotheca,villosa,,,HEVI4,Desert SW provisional,"1,2,3,4,8",COPL
Lomatium,grayi,,,LOGR,Desert SW provisional,"1,2,3,4,8",COPL
Lomatium,dissectum,,,LODI,Desert SW provisional,"1,2,3,4,8",COPL
Machaeranthera,gracilis,,,MAGR10,Desert SW provisional,"1,2,3,4,8",COPL
Machaeranthera,pinnatifida,,,MAPI,Desert SW provisional,"1,2,3,4,8",COPL
Mentzelia,albicaulis,,,MEAL6,Desert SW provisional,"1,2,3,4,8",COPL
Mentzelia,multiflora,,,MEMU3,Desert SW provisional,"1,2,3,4,8",COPL
Penstemon,palmeri,,,PEPA8,Desert SW provisional,"1,2,3,4,8",COPL
Phacelia,crenulata,,,PHCR,Desert SW provisional,"1,2,3,4,8",COPL
Pseudoroegneria,spicata,,,PSSP6,Desert SW provisional,"1,2,3,4",COPL
Senecio,spartioides,,,SESP3,Desert SW provisional,"1,2,3,4,8",COPL
Sphaeralcea,coccinea,,,SPCO,Desert SW provisional,"1,2,3,4,8",COPL
Sporobolus,airoides,,,SPAI,Desert SW provisional,"1,2,3,4,8",COPL
Stanleya,pinnata,,,STPI,Desert SW provisional,"1,2,3,4,8",COPL
Thelesperma,megapotamicum,,,THME,Desert SW provisional,"1,2,3,4,8",COPL
Vulpia,octoflora,,,VUOC,Desert SW provisional,"1,2,3,4,8",COPL
Achnatherum,hymenoides,,,ACHY,Empirical,"M1H2L3,L1H2H3",COPL
Elymus,elymoides,,,ELEL5,Climate-matched species specific,"3,4",COPL
Koeleria,macrantha,,,KOMA,Climate-matched species specific,"1,2",COPL
Achnatherum,hymenoides,,,ACHY,Empirical,"L1L2H3, M1L2H3, M1H2H3",CEDAR CITY
Elymus,elymoides,,,ELEL5,BowerRevised,"15 - 20 Deg. F. / 3 - 6, 15 - 20 Deg. F. / 6 - 12, 10 - 15 Deg. F. / 6 - 12, 20 - 25 Deg. F. / 3 - 6, 20 - 25 Deg. F. / 6 - 12",CEDAR CITY
Hesperostipa,comata,,,HECO26,BowerRevised,"15 - 20 Deg. F. / 3 - 6, 15 - 20 Deg. F. / 6 - 12, 10 - 15 Deg. F. / 6 - 12, 20 - 25 Deg. F. / 3 - 6, 20 - 25 Deg. F. / 6 - 12",CEDAR CITY
Poa,secunda,,,POSE,Empirical,"M1L2L3M M1H2L3, L1H2L3, L1L2L3",CEDAR CITY
Chaenactis,douglasii,,,CHDO,BowerRevised,"15 - 20 Deg. F. / 3 - 6, 15 - 20 Deg. F. / 6 - 12, 10 - 15 Deg. F. / 6 - 12, 20 - 25 Deg. F. / 3 - 6, 20 - 25 Deg. F. / 6 - 12",CEDAR CITY
Machaeranthera,canescens,,,MACA2,BowerRevised,"15 - 20 Deg. F. / 3 - 6, 15 - 20 Deg. F. / 6 - 12, 10 - 15 Deg. F. / 6 - 12, 20 - 25 Deg. F. / 3 - 6, 20 - 25 Deg. F. / 6 - 12",CEDAR CITY
Phacelia,hastata,,,PHHA,BowerRevised,"15 - 20 Deg. F. / 3 - 6, 15 - 20 Deg. F. / 6 - 12, 10 - 15 Deg. F. / 6 - 12, 20 - 25 Deg. F. / 3 - 6, 20 - 25 Deg. F. / 6 - 12",CEDAR CITY
Agoseris,glauca,,,AGGL,BowerRevised,"15 - 20 Deg. F. / 3 - 6, 15 - 20 Deg. F. / 6 - 12, 10 - 15 Deg. F. / 6 - 12, 20 - 25 Deg. F. / 3 - 6, 20 - 25 Deg. F. / 6 - 12",CEDAR CITY
Asclepias,speciosa,,,ASSP,BowerRevised,"15 - 20 Deg. F. / 3 - 6, 15 - 20 Deg. F. / 6 - 12, 10 - 15 Deg. F. / 6 - 12, 20 - 25 Deg. F. / 3 - 6, 20 - 25 Deg. F. / 6 - 12",CEDAR CITY
Balsamorhiza,sagittata,,,BASA3,BowerRevised,"15 - 20 Deg. F. / 3 - 6, 15 - 20 Deg. F. / 6 - 12, 10 - 15 Deg. F. / 6 - 12, 20 - 25 Deg. F. / 3 - 6, 20 - 25 Deg. F. / 6 - 12",CEDAR CITY
Crepis,acuminata,,,CRAC2,BowerRevised,"15 - 20 Deg. F. / 3 - 6, 15 - 20 Deg. F. / 6 - 12, 10 - 15 Deg. F. / 6 - 12, 20 - 25 Deg. F. / 3 - 6, 20 - 25 Deg. F. / 6 - 12",CEDAR CITY
Eriogonum,ovalifolium,,,EROV,BowerRevised,"15 - 20 Deg. F. / 3 - 6, 15 - 20 Deg. F. / 6 - 12, 10 - 15 Deg. F. / 6 - 12, 20 - 25 Deg. F. / 3 - 6, 20 - 25 Deg. F. / 6 - 12",CEDAR CITY
Eriogonum,umbellatum,,,ERUM,BowerRevised,"15 - 20 Deg. F. / 3 - 6, 15 - 20 Deg. F. / 6 - 12, 10 - 15 Deg. F. / 6 - 12, 20 - 25 Deg. F. / 3 - 6, 20 - 25 Deg. F. / 6 - 12",CEDAR CITY
Lomatium,dissectum,,,LODI,BowerRevised,"15 - 20 Deg. F. / 3 - 6, 15 - 20 Deg. F. / 6 - 12, 10 - 15 Deg. F. / 6 - 12, 20 - 25 Deg. F. / 3 - 6, 20 - 25 Deg. F. / 6 - 12",CEDAR CITY
Lomatium,nudicaule,,,LONU2,BowerRevised,"15 - 20 Deg. F. / 3 - 6, 15 - 20 Deg. F. / 6 - 12, 10 - 15 Deg. F. / 6 - 12, 20 - 25 Deg. F. / 3 - 6, 20 - 25 Deg. F. / 6 - 12",CEDAR CITY
Sphaeralcea,grossulariifolia,,,SPGR,BowerRevised,"15 - 20 Deg. F. / 3 - 6, 15 - 20 Deg. F. / 6 - 12, 10 - 15 Deg. F. / 6 - 12, 20 - 25 Deg. F. / 3 - 6, 20 - 25 Deg. F. / 6 - 12",CEDAR CITY
