Latitude,,
Longitude,,
Crew ID,CO150,
,,
Species,Pres.Abs,Census
Aristida purpurea,P,250
Asclepias cryptoceras,A,
Astragalus lonchocarpus,A,
Bouteloua gracilis,A,
Cleome lutea,A,
Cleome serrulata,A,
Cymopterus bulbosus,A,
Cymopterus purpureus,A,
Elymus elymoides,A,
Eriogonum fusiforme,A,
Eriogonum shockleyi,A,
Helianthus annuus,A,
Hesperostipa comata,A,
Heterotheca villosa,A,
Krascheninnikovia lanata,A,
Lomatium dissectum,A,
Lomatium grayi,A,
Lomatium triternatum,A,
Mentzelia albicaulis,A,
Packera multilobata,A,
Pascopyrum smithii,A,
Phacelia crenulata,A,
Pleuraphis jamesii,A,
Sphaeralcea coccinea,P,50
Sporobolus airoides,A,
Sporobolus cryptandrus,P,75
Stanleya pinnata,P,400
Vulpia octoflora,A,
