Latitude,38.18973,
Longitude,-108.607711,
Crew ID,CO150,
,,
Species,Pres.Abs,Census
Aristida purpurea,A,
Asclepias cryptoceras,A,
Astragalus lonchocarpus,A,
Bouteloua gracilis,P,50
Cleome lutea,A,
Cleome serrulata,A,
Cymopterus bulbosus,A,
Cymopterus purpureus,A,
Elymus elymoides,A,
Eriogonum fusiforme,A,
Eriogonum shockleyi,A,
Helianthus annuus,A,
Hesperostipa comata,A,
Heterotheca villosa,A,
Krascheninnikovia lanata,P,100
Lomatium dissectum,A,
Lomatium grayi,A,
Lomatium triternatum,A,
Mentzelia albicaulis,A,
Packera multilobata,A,
Pascopyrum smithii,A,
Phacelia crenulata,A,
Pleuraphis jamesii,P,300
Sphaeralcea coccinea,P,300
Sporobolus airoides,A,
Sporobolus cryptandrus,P,200
Stanleya pinnata,A,
Vulpia octoflora,A,
